,feature,Ranking
0,A1BG,147
1,A1CF,71
2,A2M,135
3,A2ML1,81
4,A4GALT,121
5,A4GNT,59
6,AAAS,77
7,AACS,104
8,AADAC,26
9,AADACL2,10
10,AADACL3,34
11,AADACL4,131
12,AADAT,1
13,AAGAB,141
14,AAK1,109
15,AAMP,118
16,AANAT,46
17,AARS,41
18,AARS2,30
19,AARSD1,2
20,AASDH,54
21,AASDHPPT,79
22,AASS,74
23,AATF,62
24,AATK,56
25,ABAT,36
26,ABCA1,71
27,ABCA10,16
28,ABCA12,113
29,ABCA13,7
30,ABCA3,9
31,ABCA4,20
32,ABCA5,12
33,ABCA6,20
34,ABCA7,71
35,ABCA8,11
36,ABCA9,10
37,ABCB1,114
38,ABCB10,2
39,ABCB11,12
40,ABCB4,89
41,ABCB5,19
42,ABCB6,133
43,ABCB7,20
44,ABCB8,80
45,ABCB9,45
46,ABCC10,101
47,ABCC11,1
48,ABCC12,1
49,ABCC2,127
50,ABCC3,49
51,ABCC4,86
52,ABCC8,5
53,ABCC9,61
54,ABCD1,38
55,ABCD2,67
56,ABCD3,26
57,ABCD4,122
58,ABCE1,93
59,ABCF1,111
60,ABCF2,60
61,ABCF3,69
62,ABCG1,69
63,ABCG2,87
64,ABCG4,53
65,ABCG5,76
66,ABCG8,30
67,ABHD1,122
68,ABHD10,24
69,ABHD11,87
70,ABHD12,53
71,ABHD12B,33
72,ABHD13,28
73,ABHD14A,142
74,ABHD14B,141
75,ABHD15,22
76,ABHD2,58
77,ABHD3,74
78,ABHD5,99
79,ABHD6,135
80,ABHD8,124
81,ABI1,56
82,ABI2,132
83,ABI3,22
84,ABI3BP,32
85,ABL1,142
86,ABL2,120
87,ABLIM1,134
88,ABLIM2,93
89,ABLIM3,50
90,ABO,145
91,ABR,29
92,ABRA,17
93,ABT1,127
94,ABTB1,98
95,ABTB2,63
96,ACAA1,143
97,ACAA2,139
98,ACACA,37
99,ACACB,146
100,ACAD10,33
101,ACAD11,72
102,ACAD8,121
103,ACAD9,46
104,ACADL,61
105,ACADM,142
106,ACADS,144
107,ACADSB,40
108,ACADVL,104
109,ACAN,120
110,ACAP1,34
111,ACAP2,140
112,ACAT1,109
113,ACAT2,103
114,ACBD3,79
115,ACBD4,4
116,ACBD5,61
117,ACBD6,34
118,ACBD7,101
119,ACCS,105
120,ACCSL,89
121,ACD,36
122,ACE,26
123,ACER1,22
124,ACER2,48
125,ACER3,18
126,ACIN1,22
127,ACLY,37
128,ACMSD,102
129,ACO1,101
