,feature,Ranking
0,TIMM17A,4
1,VTI1B,1
2,ZNF81,57
3,MYOM2,14
4,ZNF594,55
5,EIF4B,119
6,LIN9,100
7,SULT2B1,109
8,MED12,88
9,N4BP1,45
10,E2F4,106
11,HAPLN2,50
12,ZNF362,114
13,DDX39,98
14,NINJ1,63
15,ZNF217,88
16,C7orf28B,78
17,LASS3,108
18,TCFL5,8
19,PKHD1L1,31
20,MARS2,22
21,SERPINE3,43
22,MIR135A2,1
23,NAT14,37
24,ZNF229,68
25,CAMK1,42
26,DDX60L,7
27,C10orf82,16
28,GNB4,14
29,DNAJC1,61
30,MIR10A,104
31,GAGE10,59
32,DYNC1I2,57
33,LZTS1,1
34,CSRNP2,62
35,RGS2,91
36,HIP1,63
37,CDKL2,118
38,TAF4B,119
39,ATL3,27
40,CHCHD2,65
41,RARRES2,93
42,ATP9B,1
43,NKTR,50
44,COL22A1,72
45,C15orf2,64
46,SEC63,37
47,C15orf42,96
48,LOC100133545,73
49,FLJ22536,48
50,MRM1,95
51,IRAK1BP1,72
52,NID1,89
53,ZNF141,1
54,FAM46C,65
55,RGPD3,77
56,CXCL6,77
57,GBAS,85
58,C19orf10,82
59,LY6D,18
60,CCT6P1,62
61,ALDH1B1,54
62,GAPDHS,72
63,COX4I2,80
64,COPZ1,8
65,KCNG2,26
66,GTF2H4,37
67,NFKBIA,96
68,TSC22D3,88
69,SAP30,33
70,KDM5B,94
71,SLC6A11,79
72,OLFM3,91
73,ZNF799,55
74,SLC5A1,57
75,NRM,79
76,C20orf43,23
77,ANKRD30B,48
78,HSD17B11,93
79,ARL4D,43
80,PRKAG2,1
81,RNF17,59
82,LOC222699,18
83,VPS11,22
84,HEATR6,20
85,EPS8,88
86,PSMD11,1
87,MBTPS2,58
88,ACCN1,61
89,CCDC155,7
90,ZNF670,34
91,RGS22,71
92,HIGD1C,53
93,ZBED4,1
94,NPY2R,36
95,TASP1,14
96,AKR1CL1,38
97,TUBA1C,5
98,TRIM26,119
99,TBX15,66
100,CDC23,78
101,CXorf61,15
102,TDRD1,19
103,XIAP,111
104,LOC388965,75
105,ASAM,105
106,PGS1,95
107,SIAH3,120
108,DHX34,8
109,LTC4S,65
110,SLC7A5P2,1
111,GABRG1,74
112,POU6F1,52
113,TMEM35,40
114,ATG2A,117
115,POLR3D,55
116,PPIG,84
117,FUZ,82
118,SRPK2,99
119,RASAL3,1
120,GALNT3,80
121,CRTAP,1
122,CYP2S1,17
123,RAD9A,39
124,WBSCR16,119
125,IHH,30
126,KAT2B,93
127,ASPA,124
128,RNF26,117
129,GINS1,46
130,EFHD1,93
131,LOC339788,111
132,SOX1,127
133,PLEKHG7,1
134,SYP,9
135,CLVS1,79
136,RAB20,5
137,SUGT1P1,1
138,BCL2L13,31
139,ZNF345,1
140,TGM3,117
141,KDR,125
142,FAM21A,56
143,PCYOX1L,71
144,ANKK1,114
145,NRG4,33
146,DEGS2,116
147,KIAA0415,27
148,TMEM63A,78
149,PPP2R1A,129
150,WSCD2,125
151,TREML3,32
152,CHD1L,11
153,ERCC5,78
154,SNRNP27,42
155,SUB1,116
156,LOXL1,95
157,MRPL16,78
158,HSBP1L1,32
159,ANXA8L2,6
160,SRD5A2,71
161,JOSD1,25
162,LOC284232,34
163,CDH15,39
164,AGAP2,1
165,ZNF57,37
166,PPA1,115
167,SLN,123
168,SAPS1,9
169,ZSWIM4,56
170,ZNF593,100
171,MACC1,53
172,CAPZA2,75
173,C10orf18,17
174,LCK,74
175,ACSS1,1
176,DCAF8L2,102
177,MAP2K3,119
178,TUT1,124
179,LOC441601,90
180,ZNF630,23
181,PRDM2,109
182,TMEM184C,6
183,ELOF1,24
184,NUB1,15
185,GATSL3,36
186,UCN3,117
187,RNF103,125
188,ACTN2,11
189,STAT2,40
190,JTB,46
191,CETN1,119
192,KIAA1161,131
193,OPN1SW,103
194,TARSL2,83
195,SSR3,103
196,REM1,106
197,PRCD,37
198,C9orf91,27
199,ACCN1.1,115
200,LOXL1.1,88
201,CDH26,1
202,FBN3,1
203,UBE2D1,33
204,HSPA9,130
205,GTF2F1,114
206,C1QTNF2,71
207,MRPS28,131
208,CDK4,131
209,LOC402644,101
210,ITPR2,7
211,MFSD2B,1
212,SACM1L,49
213,ZSWIM1,46
214,AKR7A3,17
215,FGFBP2,73
216,SNORD115.7,20
217,SMARCE1,18
218,THPO,92
219,KIF5C,17
220,ZW10,72
221,DNAJC18,48
222,TTC29,9
223,GTF2F2,44
224,ADORA2A,67
225,ASF1B,27
226,LOC149134,75
227,JUND,121
228,SLC27A1,7
229,YDJC,51
230,NET1,8
231,ARHGEF3,3
232,YJEFN3,129
233,MIR137,127
234,PGM1,1
235,DKFZp686O24166,43
236,PIAS1,72
237,GJD4,86
238,AQP12A,111
239,TNF,23
240,ARHGDIA,22
241,GRM6,38
242,CLDN18,98
243,SELO,8
244,VAMP8,118
245,SERHL2,16
246,PIGV,6
247,ZIC5,127
248,LOC552889,61
249,CHMP4B,25
250,EMID2,30
251,LOC255025,68
252,MXD1,110
253,ST6GALNAC5,54
254,COL1A2,84
255,NHLRC1,97
256,NEUROG3,1
257,ZNF251,39
258,OSTC,62
259,TSSC1,45
260,C3orf74,120
261,TNFRSF21,127
262,PPIF,13
263,SQRDL,1
264,C3orf31,47
265,LY75,62
266,KCNJ9,114
267,LRAT,121
268,TMEM167B,128
269,HEATR5A,83
270,ZNF684,13
271,IFT52,29
272,VCPIP1,58
273,ZBTB2,118
274,MLLT6,1
275,RPS19BP1,1
276,OR1F1,78
277,BREA2,112
278,NCL,1
279,MATN3,120
280,CNNM1,35
281,DDIT4L,106
282,TRAF2,1
283,KCNJ5,40
284,HORMAD1,27
285,DNAJC15,1
286,SFXN4,41
287,ICAM1,1
288,MDP1,16
289,CEP152,121
290,DNAL4,118
291,AP3B2,113
292,GATAD1,80
293,PDE7B,86
294,CRP,84
295,KIAA1257,78
296,PINX1,42
297,RALBP1,1
298,MPV17,103
299,EIF3H,77
300,SLC6A18,80
301,ZSWIM4.1,88
302,STARD7,102
303,ZNF454,17
304,KLHL30,108
305,NMNAT2,65
306,COL23A1,1
307,PRDM2.1,91
308,CLPX,114
309,H2AFX,99
310,ALCAM,68
311,HERC3,95
312,CLUAP1,8
313,ARAF,8
314,ZNF48,1
315,MCCC1,19
316,SPATA4,112
317,AXIN2,1
318,TP53BP1,40
319,PCSK1,100
320,PDYN,86
321,RAB43,48
322,HHIP,78
323,ABCB8,1
324,SFXN1,31
325,LAPTM4A,92
326,PEX7,100
327,CTDSP2,45
328,DYNLT3,55
329,IL2RG,40
330,BICC1,1
331,C6orf174,72
332,IWS1,1
333,LIMK2,75
334,CARD14,59
335,DDX23,42
336,RPS3A,53
337,SFRS2IP,115
338,CSDC2,59
339,GJB5,25
340,SGIP1,108
341,TBC1D23,20
342,FREM2,65
343,NNMT,46
344,SSTR4,122
345,WAPAL,125
346,HSD17B12,83
347,LOC285370,101
348,SAMM50,125
349,TACO1,61
350,FEM1B,31
351,LOC387763,41
352,EGLN3,8
353,MYST4,79
354,TTF1,124
355,IFNG,11
356,CST8,1
357,C6orf222,90
358,RPF2,113
359,MIR155HG,80
360,TLX3,3
361,NOTO,7
362,AGGF1,53
363,TAF7L,53
364,KIFC1,88
365,QRICH2,78
366,FLJ40434,27
367,RPP25,13
368,SERPINA3,1
369,PRKACA,38
370,TKTL2,3
371,KIF18B,1
372,KCNE3,1
373,CCDC84,15
374,MRPS10,45
375,P4HA3,15
376,TACR2,97
377,BAT5,10
378,CHADL,128
379,SYN3,129
380,OSTCL,123
381,CLDN11,81
382,COX7C,20
383,MBTPS1,128
384,ZNF394,103
385,LOC113230,1
386,MGC72080,115
387,C15orf60,97
388,LAMA5,115
389,MIR142,83
390,ABTB2,129
391,KLK13,66
392,HN1L,3
393,NR5A1,98
394,FAF1,77
395,C1orf100,74
396,EPOR,1
397,USP3,77
398,B3GALTL,1
399,ZNF569,38
400,IL1F9,93
401,NEUROG1,17
402,C7orf27,46
403,LOC100132163,66
404,EZH1,96
405,MAGEB6,25
406,CNR2,106
407,KRT12,44
408,GUCY2E,63
409,MSH6,68
410,MIR141,61
411,TMEM141,1
412,COX4I2.1,14
413,ZNF500,14
414,BAT2L2,118
415,EIF2B5,66
416,CGNL1,100
417,SPEG,127
418,C1orf86,98
419,ATP1A4,125
420,MCF2L,124
421,HOXD9,127
422,ASXL2,33
423,TMED1,20
424,NEUROD2,1
425,C6orf150,23
426,METTL2B,1
427,AQP12B,118
428,SLC45A3,80
429,LYPD6,46
430,MAML1,124
431,NDUFA12,90
432,FGF17,115
433,QPCT,28
434,CLSTN2,65
435,CYS1,41
