,feature,Ranking
0,A1BG,45
1,A1CF,44
2,A2M,60
3,A2ML1,59
4,A4GALT,18
5,A4GNT,63
6,AAAS,13
7,AACS,31
8,AADAC,20
9,AADACL2,5
10,AADACL3,61
11,AADACL4,14
12,AADAT,1
13,AAGAB,58
14,AAK1,60
15,AAMP,60
16,AANAT,32
17,AARS,37
18,AARS2,5
19,AARSD1,1
20,AASDH,44
21,AASDHPPT,27
22,AASS,25
23,AATF,26
24,AATK,14
25,ABAT,14
26,ABCA1,49
27,ABCA10,2
28,ABCA12,54
29,ABCA13,5
30,ABCA3,1
31,ABCA4,1
32,ABCA5,1
33,ABCA6,8
34,ABCA7,27
35,ABCA8,1
36,ABCA9,7
37,ABCB1,1
38,ABCB10,19
39,ABCB11,12
40,ABCB4,1
41,ABCB5,1
42,ABCB6,62
43,ABCB7,2
44,ABCB8,18
45,ABCB9,58
46,ABCC10,8
47,ABCC11,1
48,ABCC12,1
49,ABCC2,61
50,ABCC3,10
51,ABCC4,23
52,ABCC8,1
53,ABCC9,18
54,ABCD1,1
55,ABCD2,63
56,ABCD3,25
57,ABCD4,57
58,ABCE1,43
59,ABCF1,38
60,ABCF2,55
61,ABCF3,50
62,ABCG1,11
63,ABCG2,40
64,ABCG4,36
65,ABCG5,2
66,ABCG8,1
67,ABHD1,37
68,ABHD10,1
69,ABHD11,1
70,ABHD12,61
71,ABHD12B,1
72,ABHD13,1
73,ABHD14A,49
74,ABHD14B,64
75,ABHD15,1
76,ABHD2,55
77,ABHD3,37
78,ABHD5,60
79,ABHD6,28
80,ABHD8,32
81,ABI1,22
82,ABI2,55
83,ABI3,1
84,ABI3BP,24
85,ABL1,30
86,ABL2,28
87,ABLIM1,58
88,ABLIM2,50
89,ABLIM3,50
90,ABO,57
91,ABR,33
92,ABRA,12
93,ABT1,50
94,ABTB1,35
95,ABTB2,21
96,ACAA1,60
97,ACAA2,44
98,ACACA,1
99,ACACB,44
100,ACAD10,37
101,ACAD11,46
102,ACAD8,23
103,ACAD9,32
104,ACADL,62
105,ACADM,33
106,ACADS,32
107,ACADSB,37
108,ACADVL,1
109,ACAN,11
110,ACAP1,6
111,ACAP2,46
112,ACAT1,23
113,ACAT2,63
114,ACBD3,51
115,ACBD4,1
116,ACBD5,24
117,ACBD6,11
118,ACBD7,1
119,ACCS,16
120,ACCSL,24
121,ACD,9
122,ACE,4
123,ACER1,38
124,ACER2,60
125,ACER3,26
126,ACIN1,7
127,ACLY,8
